_id,isPb,wpm,acc,rawWpm,consistency,charStats,mode,mode2,quoteLength,restartCount,testDuration,afkDuration,incompleteTestSeconds,punctuation,numbers,language,funbox,difficulty,lazyMode,blindMode,bailedOut,tags,timestamp
66962e5dc245cfb7569cf421,,53.14,97.05,54.37,69.98,258;2;0;0,words,50,-1,0,58.26,0,0,false,false,english,none,normal,false,false,false,,1721118301000
66962e0cc245cfb7569cf119,,51.85,93.48,54.55,72.05,249;3;0;0,words,50,-1,0,57.63,0,0,false,false,english,none,normal,false,false,false,,1721118220000
66962d9cc245cfb7569cecc8,,59.19,97.37,59.19,63.64,74;0;0;0,time,15,-1,0,15,0,0,false,false,english,none,normal,false,false,false,,1721118108000
66962d87c245cfb7569cec14,,64.74,97.59,64.74,76.33,81;0;0;0,time,15,-1,0,15.01,0,0,false,false,english,none,normal,false,false,false,,1721118087000
66962d73c245cfb7569ceb5e,,54.4,94.67,59.2,76.91,68;2;0;0,time,15,-1,0,15,0,0,false,false,english,none,normal,false,false,false,,1721118067000
66962d51c245cfb7569cea23,,48,87.14,50.4,68.06,60;1;0;0,time,15,-1,0,15,0,0,false,false,english,none,normal,false,false,false,,1721118033000
66962d39c245cfb7569ce945,,62.39,97.53,64.79,81.11,78;1;0;0,time,15,-1,0,15,0,0,false,false,english,none,normal,false,false,false,,1721118009000
66962d22c245cfb7569ce869,,49.6,88.89,56,70.34,62;5;0;1,time,15,-1,0,15,0,0,false,false,english,none,normal,false,false,false,,1721117986000
66962d0dc245cfb7569ce7a1,,59.2,98.67,59.2,71.72,74;0;0;0,time,15,-1,0,15,0,0,false,false,english,none,normal,false,false,false,,1721117965000
66962cf7c245cfb7569ce6f0,,58.39,93.1,68.79,67.17,73;1;2;0,time,15,-1,0,15,0,0,false,false,english,none,normal,false,false,false,,1721117943000
669105509b66a9bab08a73db,,55.2,95.83,55.2,62.59,69;0;0;0,time,15,-1,0,15,0,0,false,false,english,none,normal,false,false,false,,1720780112000
6691053a9b66a9bab08a7327,,45.6,89.47,56.8,75.6,57;3;0;2,time,15,-1,0,15,0,0,false,false,english,none,normal,false,false,false,,1720780090000
669105269b66a9bab08a7292,,56,98.63,56,68.29,70;0;0;0,time,15,-1,0,15,0,0,false,false,english,none,normal,false,false,false,,1720780070000
669105119b66a9bab08a71f8,,44,84.51,49.6,66.86,55;1;0;0,time,15,-1,0,15,0,0,false,false,english,none,normal,false,false,false,,1720780049000
669104eb9b66a9bab08a70ad,,51.2,85.19,64.8,74.88,64;7;1;1,time,15,-1,0,15,0,0,false,false,english,none,normal,false,false,false,,1720780011000
669104d79b66a9bab08a6fee,,66.38,98.82,66.38,74.5,83;0;0;0,time,15,-1,0,15,0,0,false,false,english,none,normal,false,false,false,,1720779991000
669104c09b66a9bab08a6f28,,50.4,92,58.4,70.79,63;3;0;0,time,15,-1,0,15,0,0,false,false,english,none,normal,false,false,false,,1720779968000
669104ac9b66a9bab08a6e7f,,57.6,98.65,57.6,76.05,72;0;0;0,time,15,-1,0,15,0,0,false,false,english,none,normal,false,false,false,,1720779948000
6691048c9b66a9bab08a6d62,,40,82.86,48,52.69,50;3;0;0,time,15,-1,0,15,0,0,false,false,english,none,normal,false,false,false,,1720779916000
669104779b66a9bab08a6cb9,,63.2,97.53,63.2,71.47,79;0;0;0,time,15,-1,0,15,0,0,false,false,english,none,normal,false,false,false,,1720779895000
